Date,Price,Open,High,Low,Vol.,Change %
5/21/2024,"70,139.90","71,430.50","71,872.00","69,181.70",108.56K,-1.80%
5/20/2024,"71,422.70","66,278.30","71,482.80","66,076.50",112.66K,7.76%
5/19/2024,"66,279.10","66,919.00","67,662.50","65,937.30",36.19K,-0.95%
5/18/2024,"66,917.50","67,036.60","67,361.40","66,636.10",29.68K,-0.18%
5/17/2024,"67,036.80","65,231.10","67,420.70","65,121.70",63.09K,2.77%
5/16/2024,"65,231.00","66,219.60","66,643.90","64,623.30",72.55K,-1.50%
5/15/2024,"66,225.10","61,569.40","66,417.10","61,357.50",106.05K,7.56%
5/14/2024,"61,569.40","62,936.80","63,102.60","61,156.90",68.84K,-2.17%
5/13/2024,"62,937.20","61,480.50","63,443.20","60,779.00",70.55K,2.37%
5/12/2024,"61,480.00","60,826.60","61,847.70","60,647.10",27.40K,1.07%
5/11/2024,"60,826.60","60,796.80","61,487.50","60,499.30",27.50K,0.05%
5/10/2024,"60,796.90","63,074.30","63,454.30","60,251.80",79.33K,-3.61%
5/9/2024,"63,075.00","61,207.30","63,413.30","60,671.40",64.22K,3.05%
5/8/2024,"61,207.50","62,304.90","62,997.40","60,894.20",56.47K,-1.78%
5/7/2024,"62,317.70","63,163.10","64,361.00","62,294.10",59.74K,-1.34%
5/6/2024,"63,163.10","64,005.80","65,448.80","62,730.70",77.68K,-1.32%
5/5/2024,"64,006.40","63,897.70","64,587.20","62,923.90",40.51K,0.18%
5/4/2024,"63,888.30","62,887.10","64,466.00","62,599.10",53.03K,1.61%
5/3/2024,"62,877.50","59,104.30","63,298.40","58,830.80",100.46K,6.35%
5/2/2024,"59,121.30","58,334.90","59,548.00","56,989.80",98.06K,1.35%
5/1/2024,"58,331.20","60,665.00","60,827.50","56,643.50",171.55K,-3.85%
4/30/2024,"60,666.60","63,852.40","64,700.20","59,228.70",121.04K,-5.00%
4/29/2024,"63,860.10","63,113.70","64,193.10","61,837.20",67.26K,1.19%
4/28/2024,"63,109.70","63,457.90","64,346.10","62,827.80",36.65K,-0.55%
4/27/2024,"63,456.80","63,765.80","63,916.70","62,507.70",45.34K,-0.49%
4/26/2024,"63,766.40","64,497.10","64,771.30","63,354.90",61.60K,-1.13%
4/25/2024,"64,497.10","64,287.10","65,247.50","62,889.20",80.77K,0.33%
4/24/2024,"64,285.70","66,414.90","67,060.50","63,606.90",77.83K,-3.21%
4/23/2024,"66,415.00","66,829.50","67,180.00","65,848.30",52.42K,-0.62%
4/22/2024,"66,829.30","64,940.10","67,208.00","64,527.50",72.30K,2.91%
4/21/2024,"64,940.20","64,942.10","65,680.60","64,267.50",42.02K,-0.03%
4/20/2024,"64,961.10","63,817.60","65,375.60","63,131.70",49.33K,1.82%
4/19/2024,"63,799.10","63,480.50","65,441.20","59,693.30",150.34K,0.50%
4/18/2024,"63,481.40","61,278.90","64,092.40","60,822.30",97.38K,3.59%
4/17/2024,"61,278.90","63,802.30","64,451.50","59,820.80",118.92K,-3.96%
4/16/2024,"63,805.30","63,416.10","64,274.40","61,715.60",114.96K,0.62%
4/15/2024,"63,411.90","65,696.60","66,805.10","62,379.50",118.79K,-3.48%
4/14/2024,"65,697.40","63,909.50","65,758.20","62,174.70",134.40K,2.89%
4/13/2024,"63,849.90","67,137.40","67,921.00","61,065.50",149.48K,-4.92%
4/12/2024,"67,151.90","70,014.90","71,226.90","65,829.30",131.84K,-4.08%
4/11/2024,"70,011.60","70,620.40","71,249.20","69,586.10",72.51K,-0.86%
4/10/2024,"70,622.10","69,147.80","71,086.90","67,570.00",97.71K,2.13%
4/9/2024,"69,148.00","71,627.30","71,737.20","68,264.60",93.69K,-3.47%
4/8/2024,"71,630.10","69,358.00","72,710.80","69,110.50",105.78K,3.27%
4/7/2024,"69,360.40","68,897.30","70,285.80","68,849.40",46.99K,0.68%
4/6/2024,"68,890.60","67,830.50","69,632.00","67,467.20",41.48K,1.56%
4/5/2024,"67,830.60","68,498.70","68,692.20","66,023.30",88.97K,-0.97%
4/4/2024,"68,496.50","65,968.40","69,238.80","65,096.30",100.30K,3.84%
4/3/2024,"65,963.00","65,443.60","66,844.80","64,559.00",88.46K,0.80%
4/2/2024,"65,439.20","69,662.70","69,673.00","64,628.40",152.87K,-6.07%
4/1/2024,"69,664.40","71,329.30","71,329.30","68,175.90",94.05K,-2.34%
3/31/2024,"71,332.00","69,608.50","71,367.50","69,576.60",42.45K,2.47%
3/30/2024,"69,611.50","69,872.30","70,321.20","69,564.90",29.87K,-0.37%
3/29/2024,"69,871.70","70,766.70","70,907.00","69,090.90",58.99K,-1.26%
3/28/2024,"70,762.10","69,449.40","71,542.50","68,956.90",72.49K,1.90%
3/27/2024,"69,442.40","69,999.20","71,670.80","68,428.60",112.88K,-0.80%
3/26/2024,"69,999.30","69,896.30","71,490.70","69,366.40",90.98K,0.15%
3/25/2024,"69,892.00","67,216.40","71,118.80","66,395.00",124.72K,3.99%
3/24/2024,"67,211.90","64,036.50","67,587.80","63,812.90",65.59K,4.96%
3/23/2024,"64,037.80","63,785.60","65,972.40","63,074.90",35.11K,0.40%
3/22/2024,"63,785.50","65,501.50","66,633.30","62,328.30",72.43K,-2.62%
3/21/2024,"65,503.80","67,860.00","68,161.70","64,616.10",75.26K,-3.46%
3/20/2024,"67,854.00","62,046.80","68,029.50","60,850.90",133.53K,9.35%
3/19/2024,"62,050.00","67,594.10","68,099.60","61,560.60",148.08K,-8.20%
3/18/2024,"67,594.10","68,389.70","68,920.10","66,601.40",78.07K,-1.17%
3/17/2024,"68,391.20","65,314.20","68,857.70","64,605.50",66.07K,4.71%
3/16/2024,"65,314.20","69,456.50","70,037.00","64,971.00",75.82K,-5.97%
3/15/2024,"69,463.70","71,387.10","72,398.10","65,765.60",148.59K,-2.69%
3/14/2024,"71,387.50","73,066.70","73,740.90","68,717.20",109.43K,-2.30%
3/13/2024,"73,066.30","71,461.90","73,623.50","71,338.40",77.18K,2.23%
3/12/2024,"71,470.20","72,099.10","72,916.70","68,845.60",105.09K,-0.87%
3/11/2024,"72,099.10","68,964.70","72,771.50","67,452.80",114.72K,4.54%
3/10/2024,"68,964.80","68,360.70","69,905.30","68,165.00",53.49K,0.88%
3/9/2024,"68,366.50","68,178.50","68,576.90","67,923.90",30.71K,0.29%
3/8/2024,"68,172.00","66,854.40","69,904.00","66,170.70",112.67K,1.97%
3/7/2024,"66,855.30","66,074.60","67,985.50","65,602.60",77.47K,1.17%
3/6/2024,"66,080.40","63,794.70","67,604.90","62,848.70",117.91K,3.59%
3/5/2024,"63,792.60","68,273.10","69,063.10","60,138.20",207.60K,-6.56%
3/4/2024,"68,270.10","63,135.80","68,495.10","62,746.80",130.86K,8.13%
3/3/2024,"63,135.80","61,955.60","63,227.30","61,399.40",38.01K,1.84%
3/2/2024,"61,994.50","62,397.70","62,446.30","61,621.90",33.80K,-0.65%
3/1/2024,"62,397.70","61,157.30","63,147.30","60,790.90",74.96K,2.01%
2/29/2024,"61,169.30","62,467.10","63,653.40","60,512.50",119.29K,-2.08%
2/28/2024,"62,467.60","57,048.70","63,915.30","56,704.90",173.64K,9.48%
2/27/2024,"57,056.20","54,491.10","57,555.20","54,464.00",100.48K,4.70%
2/26/2024,"54,495.10","51,722.70","54,899.10","50,925.20",78.05K,5.36%
2/25/2024,"51,722.70","51,572.10","51,952.00","51,299.00",23.61K,0.29%
2/24/2024,"51,571.60","50,739.60","51,689.90","50,592.00",20.99K,1.64%
2/23/2024,"50,740.50","51,320.60","51,532.50","50,537.60",43.27K,-1.13%
2/22/2024,"51,320.40","51,850.20","52,015.80","50,947.30",50.27K,-1.04%
2/21/2024,"51,858.20","52,263.50","52,367.30","50,676.90",59.02K,-0.78%
2/20/2024,"52,263.50","51,783.10","52,936.80","50,801.80",68.10K,0.93%
2/19/2024,"51,783.60","52,119.60","52,484.80","51,694.20",36.73K,-0.64%
2/18/2024,"52,117.50","51,646.00","52,350.30","51,199.60",26.89K,0.91%
2/17/2024,"51,646.00","52,134.20","52,175.50","50,652.30",32.45K,-0.94%
2/16/2024,"52,134.20","51,901.40","52,556.70","51,612.60",52.86K,0.45%
2/15/2024,"51,901.30","51,805.20","52,819.40","51,327.50",74.72K,0.23%
2/14/2024,"51,782.40","49,708.60","52,010.70","49,263.80",80.35K,4.16%
2/13/2024,"49,716.00","49,941.00","50,326.60","48,398.30",78.51K,-0.45%
2/12/2024,"49,941.30","48,280.20","50,277.30","47,729.90",81.85K,3.45%
2/11/2024,"48,277.30","47,759.30","48,531.60","47,590.20",36.50K,1.09%
2/10/2024,"47,758.20","47,128.00","48,149.00","46,875.00",31.20K,1.34%
2/9/2024,"47,127.50","45,293.30","48,118.80","45,254.20",98.11K,4.05%
2/8/2024,"45,293.30","44,346.20","45,579.20","44,336.40",66.38K,2.15%
2/7/2024,"44,339.80","43,088.40","44,367.90","42,783.50",48.57K,2.91%
2/6/2024,"43,087.70","42,697.60","43,375.50","42,566.80",33.32K,0.91%
2/5/2024,"42,697.20","42,581.40","43,532.20","42,272.50",39.26K,0.27%
2/4/2024,"42,581.40","43,006.20","43,113.20","42,379.40",20.33K,-0.99%
2/3/2024,"43,005.70","43,194.70","43,370.40","42,882.00",14.57K,-0.44%
2/2/2024,"43,194.70","43,083.70","43,459.30","42,596.30",42.65K,0.26%
2/1/2024,"43,081.40","42,580.10","43,263.10","41,890.50",47.69K,1.18%
1/31/2024,"42,580.50","42,946.20","43,739.70","42,315.40",56.48K,-0.85%
1/30/2024,"42,946.20","43,303.30","43,817.90","42,702.90",55.13K,-0.82%
1/29/2024,"43,299.80","42,031.40","43,305.60","41,824.70",45.23K,3.02%
1/28/2024,"42,030.70","42,121.30","42,817.10","41,649.00",32.53K,-0.21%
1/27/2024,"42,120.90","41,811.50","42,191.80","41,413.00",20.46K,0.74%
1/26/2024,"41,811.30","39,942.00","42,214.80","39,831.20",69.47K,4.70%
1/25/2024,"39,935.70","40,085.10","40,285.80","39,546.30",46.30K,-0.37%
1/24/2024,"40,086.00","39,891.30","40,535.20","39,510.00",58.64K,0.49%
1/23/2024,"39,888.80","39,555.00","40,159.40","38,546.90",82.67K,0.84%
1/22/2024,"39,556.40","41,581.70","41,684.90","39,468.40",85.10K,-4.87%
1/21/2024,"41,583.20","41,695.40","41,878.00","41,504.50",16.11K,-0.27%
1/20/2024,"41,695.40","41,647.60","41,858.00","41,449.50",22.27K,0.11%
1/19/2024,"41,648.00","41,293.80","42,164.60","40,305.40",72.64K,0.86%
1/18/2024,"41,292.70","42,763.50","42,908.00","40,682.60",70.35K,-3.45%
1/17/2024,"42,768.70","43,139.10","43,192.30","42,211.80",50.44K,-0.87%
1/16/2024,"43,145.50","42,515.20","43,563.70","42,093.10",63.93K,1.49%
1/15/2024,"42,510.70","41,747.60","43,348.90","41,719.20",52.08K,1.83%
1/14/2024,"41,746.10","42,851.30","43,069.40","41,739.60",37.14K,-2.58%
1/13/2024,"42,851.30","42,836.70","43,248.60","42,443.30",48.18K,0.04%
1/12/2024,"42,835.90","46,348.10","46,503.20","41,857.90",136.92K,-7.58%
1/11/2024,"46,348.20","46,629.30","48,923.70","45,651.80",131.04K,-0.60%
1/10/2024,"46,629.30","46,112.00","47,654.30","44,403.60",131.48K,1.08%
1/9/2024,"46,129.00","46,959.20","47,880.10","45,333.90",100.09K,-1.77%
1/8/2024,"46,962.20","43,934.20","47,196.70","43,251.00",103.09K,6.91%
1/7/2024,"43,927.30","43,973.50","44,481.20","43,627.90",29.53K,-0.09%
1/6/2024,"43,967.90","44,156.60","44,203.20","43,424.00",24.26K,-0.43%
1/5/2024,"44,156.90","44,163.00","44,312.10","42,629.00",68.07K,0.00%
1/4/2024,"44,157.00","42,836.10","44,744.50","42,632.80",68.05K,3.08%
1/3/2024,"42,836.10","44,943.70","45,492.70","40,888.30",117.65K,-4.69%
1/2/2024,"44,943.70","44,182.90","45,885.40","44,166.00",97.84K,1.72%
1/1/2024,"44,183.40","42,272.50","44,187.00","42,196.70",36.30K,4.52%
12/31/2023,"42,272.50","42,141.60","42,878.80","41,971.40",35.58K,0.32%
12/30/2023,"42,136.70","42,074.70","42,592.20","41,527.30",35.18K,0.15%
12/29/2023,"42,072.40","42,581.10","43,108.00","41,459.00",60.98K,-1.19%
12/28/2023,"42,581.10","43,446.50","43,782.60","42,309.30",49.84K,-1.99%
12/27/2023,"43,446.50","42,514.30","43,676.70","42,115.30",50.10K,2.20%
12/26/2023,"42,513.30","43,579.90","43,594.90","41,796.60",56.03K,-2.44%
12/25/2023,"43,578.50","42,982.00","43,792.70","42,745.30",32.67K,1.39%
12/24/2023,"42,981.50","43,710.40","43,935.70","42,748.50",30.86K,-1.67%
12/23/2023,"43,710.40","43,968.90","43,994.60","43,325.70",21.29K,-0.59%
12/22/2023,"43,968.90","43,865.90","44,394.60","43,419.30",44.50K,0.23%
12/21/2023,"43,865.90","43,660.30","44,241.80","43,310.20",48.96K,0.47%
12/20/2023,"43,662.80","42,259.50","44,278.70","42,217.20",70.19K,3.32%
12/19/2023,"42,259.30","42,659.70","43,473.30","41,842.70",55.29K,-0.94%
12/18/2023,"42,659.70","41,369.10","42,728.00","40,554.00",61.58K,3.12%
12/17/2023,"41,368.70","42,271.70","42,413.20","41,276.90",35.46K,-2.14%
12/16/2023,"42,271.70","41,929.00","42,690.30","41,698.20",30.11K,0.82%
12/15/2023,"41,929.00","43,025.20","43,080.70","41,697.90",45.28K,-2.55%
12/14/2023,"43,025.90","42,886.30","43,392.70","41,591.20",59.15K,0.33%
12/13/2023,"42,884.50","41,487.00","43,417.50","40,649.30",63.11K,3.37%
12/12/2023,"41,487.00","41,256.10","42,070.90","40,691.50",57.04K,0.56%
12/11/2023,"41,256.10","43,791.00","43,806.30","40,277.10",105.19K,-5.79%
12/10/2023,"43,791.00","43,716.60","44,045.40","43,576.80",23.81K,0.17%
12/9/2023,"43,718.40","44,175.50","44,361.20","43,617.40",31.67K,-1.03%
12/8/2023,"44,175.50","43,288.30","44,697.60","43,108.40",58.44K,2.05%
12/7/2023,"43,289.70","43,774.40","44,046.40","42,860.50",63.09K,-1.11%
12/6/2023,"43,776.30","44,076.20","44,283.70","43,466.70",72.52K,-0.68%
12/5/2023,"44,076.20","41,989.60","44,424.10","41,424.90",96.84K,4.97%
12/4/2023,"41,987.80","39,968.60","42,394.40","39,968.60",104.21K,5.05%
12/3/2023,"39,970.20","39,456.80","40,178.90","39,280.30",35.27K,1.30%
12/2/2023,"39,458.40","38,688.20","39,673.40","38,646.50",37.09K,1.99%
12/1/2023,"38,688.20","37,712.90","38,950.80","37,618.30",62.50K,2.59%
11/30/2023,"37,712.90","37,857.60","38,144.40","37,509.20",33.53K,-0.38%
11/29/2023,"37,855.50","37,823.30","38,362.90","37,607.60",49.34K,0.09%
11/28/2023,"37,823.30","37,244.30","38,379.40","36,881.10",57.50K,1.54%
11/27/2023,"37,248.60","37,451.80","37,563.30","36,751.50",45.24K,-0.54%
11/26/2023,"37,451.80","37,786.40","37,819.10","37,166.30",29.20K,-0.89%
11/25/2023,"37,787.00","37,718.60","37,887.40","37,599.90",16.09K,0.18%
11/24/2023,"37,717.30","37,295.00","38,400.80","37,257.40",65.83K,1.14%
11/23/2023,"37,293.10","37,410.80","37,642.50","36,915.30",32.35K,-0.31%
11/22/2023,"37,410.80","35,797.50","37,862.50","35,695.60",64.81K,4.46%
11/21/2023,"35,813.60","37,452.70","37,631.20","35,799.20",71.07K,-4.38%
11/20/2023,"37,454.10","37,356.60","37,735.60","36,857.60",51.80K,0.27%
11/19/2023,"37,354.20","36,568.60","37,504.60","36,393.30",26.14K,2.15%
11/18/2023,"36,568.60","36,617.50","36,845.20","36,220.60",20.88K,-0.07%
11/17/2023,"36,595.40","36,161.80","36,690.60","35,875.20",51.37K,1.20%
11/16/2023,"36,161.20","37,873.90","37,907.60","35,561.60",66.92K,-4.52%
11/15/2023,"37,874.90","35,549.30","37,954.10","35,379.60",75.51K,6.54%
11/14/2023,"35,549.30","36,478.30","36,744.50","34,984.30",63.56K,-2.55%
11/13/2023,"36,478.30","37,067.80","37,404.60","36,358.40",44.55K,-1.58%
11/12/2023,"37,064.40","37,149.00","37,215.30","36,761.90",21.45K,-0.23%
11/11/2023,"37,150.50","37,306.30","37,401.30","36,767.60",29.53K,-0.41%
11/10/2023,"37,303.00","36,700.50","37,496.10","36,347.20",59.56K,1.64%
11/9/2023,"36,700.50","35,636.90","37,942.00","35,578.10",115.56K,2.98%
11/8/2023,"35,636.90","35,426.20","36,050.20","35,148.80",46.33K,0.60%
11/7/2023,"35,426.10","35,042.10","35,877.90","34,536.90",53.49K,1.10%
11/6/2023,"35,042.00","35,020.30","35,275.60","34,742.90",29.81K,0.06%
11/5/2023,"35,019.40","35,065.80","35,360.20","34,550.00",31.02K,-0.13%
11/4/2023,"35,065.80","34,718.60","35,242.20","34,601.10",23.80K,1.00%
11/3/2023,"34,718.70","34,931.40","34,940.60","34,124.20",54.54K,-0.61%
11/2/2023,"34,931.40","35,423.80","35,907.60","34,357.40",63.66K,-1.39%
11/1/2023,"35,423.80","34,648.30","35,557.50","34,138.70",71.66K,2.23%
10/31/2023,"34,650.60","34,478.90","34,704.60","34,053.90",43.40K,0.50%
10/30/2023,"34,477.90","34,526.70","34,853.30","34,089.50",45.20K,-0.14%
10/29/2023,"34,526.70","34,082.60","34,737.90","33,937.60",27.72K,1.30%
10/28/2023,"34,082.60","33,901.60","34,387.80","33,867.30",22.00K,0.53%
10/27/2023,"33,901.80","34,153.70","34,245.80","33,423.60",47.33K,-0.74%
10/26/2023,"34,153.70","34,497.60","34,826.00","33,749.90",56.62K,-0.99%
10/25/2023,"34,496.80","33,917.00","35,123.90","33,713.40",75.81K,1.71%
10/24/2023,"33,917.00","33,037.30","35,191.40","32,866.50",159.08K,2.65%
10/23/2023,"33,041.80","29,984.20","34,375.60","29,891.40",133.46K,10.20%
10/22/2023,"29,984.20","29,912.70","30,193.40","29,713.60",29.07K,0.24%
10/21/2023,"29,912.90","29,674.70","30,264.80","29,469.10",34.68K,0.80%
10/20/2023,"29,674.50","28,724.00","30,165.90","28,586.10",82.68K,3.31%
10/19/2023,"28,723.00","28,321.80","28,883.80","28,170.20",50.10K,1.42%
10/18/2023,"28,321.70","28,405.20","28,876.00","28,169.00",45.01K,-0.29%
10/17/2023,"28,403.60","28,508.30","28,608.50","28,096.90",53.42K,-0.37%
10/16/2023,"28,509.70","27,161.20","29,969.50","27,119.70",119.18K,4.96%
10/15/2023,"27,161.20","26,852.80","27,286.90","26,812.60",21.95K,1.15%
10/14/2023,"26,852.80","26,863.50","26,975.70","26,805.10",13.56K,-0.04%
10/13/2023,"26,863.50","26,761.10","27,114.80","26,682.90",33.66K,0.38%
10/12/2023,"26,761.10","26,878.20","26,942.80","26,565.30",32.75K,-0.43%
10/11/2023,"26,876.60","27,391.90","27,475.90","26,558.40",55.78K,-1.88%
10/10/2023,"27,391.00","27,581.50","27,728.10","27,300.10",34.32K,-0.69%
10/9/2023,"27,581.40","27,922.70","27,986.40","27,279.50",44.81K,-1.22%
10/8/2023,"27,922.70","27,961.10","28,097.50","27,714.40",24.11K,-0.14%
10/7/2023,"27,961.10","27,935.50","28,021.30","27,859.00",17.29K,0.09%
10/6/2023,"27,936.90","27,410.30","28,223.60","27,195.70",52.51K,1.92%
10/5/2023,"27,410.30","27,783.50","28,089.10","27,371.70",46.26K,-1.37%
10/4/2023,"27,790.90","27,428.70","27,832.70","27,242.50",40.93K,1.32%
10/3/2023,"27,428.40","27,501.60","27,670.80","27,194.10",44.06K,-0.28%
10/2/2023,"27,505.30","27,974.60","28,556.60","27,325.20",84.30K,-1.68%
10/1/2023,"27,974.50","26,962.50","28,038.40","26,955.70",35.11K,3.75%
9/30/2023,"26,962.70","26,908.10","27,085.70","26,887.50",17.55K,0.20%
9/29/2023,"26,909.80","27,022.60","27,229.50","26,728.80",42.24K,-0.42%
9/28/2023,"27,022.60","26,368.20","27,283.60","26,339.40",64.56K,2.49%
9/27/2023,"26,366.10","26,218.90","26,836.90","26,109.10",50.80K,0.56%
9/26/2023,"26,218.90","26,303.10","26,396.20","26,093.40",26.41K,-0.32%
9/25/2023,"26,302.70","26,251.60","26,423.60","26,013.60",38.20K,0.20%
9/24/2023,"26,251.50","26,579.00","26,727.60","26,162.20",22.32K,-1.23%
9/23/2023,"26,579.20","26,581.70","26,636.20","26,517.50",12.92K,-0.01%
9/22/2023,"26,581.90","26,569.50","26,736.40","26,488.50",28.79K,0.04%
9/21/2023,"26,570.00","27,125.20","27,155.60","26,382.30",47.81K,-2.05%
9/20/2023,"27,125.00","27,209.20","27,378.60","26,851.80",47.23K,-0.31%
9/19/2023,"27,209.20","26,759.00","27,480.70","26,672.20",52.17K,1.67%
9/18/2023,"26,763.50","26,530.30","27,413.30","26,405.20",63.35K,0.88%
9/17/2023,"26,529.10","26,562.00","26,614.40","26,408.70",16.57K,-0.12%
9/16/2023,"26,562.00","26,599.90","26,769.00","26,463.50",18.45K,-0.15%
9/15/2023,"26,601.00","26,523.30","26,837.40","26,233.10",36.47K,0.29%
9/14/2023,"26,524.70","26,223.00","26,760.30","26,148.60",53.82K,1.15%
9/13/2023,"26,223.00","25,836.10","26,382.30","25,766.90",42.58K,1.50%
9/12/2023,"25,834.50","25,166.40","26,472.60","25,133.50",78.71K,2.65%
9/11/2023,"25,166.40","25,840.20","25,897.40","24,923.10",56.32K,-2.61%
9/10/2023,"25,840.20","25,901.10","25,995.10","25,626.70",23.60K,-0.24%
9/9/2023,"25,901.10","25,909.50","25,938.50","25,814.30",13.48K,-0.03%
9/8/2023,"25,909.50","26,248.50","26,415.40","25,701.60",41.01K,-1.30%
9/7/2023,"26,249.80","25,758.00","26,417.70","25,626.50",39.77K,1.91%
9/6/2023,"25,758.00","25,790.10","26,018.40","25,411.70",37.78K,-0.13%
9/5/2023,"25,790.20","25,824.40","25,864.00","25,596.30",28.40K,-0.13%
9/4/2023,"25,823.30","25,971.00","26,094.20","25,660.90",27.13K,-0.57%
9/3/2023,"25,971.00","25,869.70","26,090.40","25,816.60",21.36K,0.39%
9/2/2023,"25,869.70","25,803.50","25,977.40","25,752.70",21.24K,0.26%
9/1/2023,"25,803.20","25,938.30","26,144.90","25,361.90",58.08K,-0.52%
8/31/2023,"25,937.30","27,300.60","27,464.50","25,731.00",69.11K,-4.99%
8/30/2023,"27,298.80","27,723.90","27,757.30","27,043.20",46.54K,-1.53%
8/29/2023,"27,723.90","26,118.10","28,046.00","25,919.80",98.32K,6.14%
8/28/2023,"26,118.90","26,100.60","26,215.70","25,891.00",28.84K,0.07%
8/27/2023,"26,100.60","26,017.10","26,176.80","25,968.70",14.29K,0.32%
8/26/2023,"26,017.10","26,057.20","26,114.10","25,993.50",12.09K,-0.15%
8/25/2023,"26,057.20","26,176.10","26,265.70","25,811.60",39.96K,-0.46%
8/24/2023,"26,177.00","26,436.20","26,560.50","25,943.60",41.04K,-0.98%
8/23/2023,"26,436.20","26,042.00","26,807.70","25,812.60",60.96K,1.52%
8/22/2023,"26,039.90","26,126.80","26,138.80","25,481.90",47.72K,-0.33%
8/21/2023,"26,126.00","26,190.80","26,220.90","25,850.80",41.10K,-0.25%
8/20/2023,"26,190.80","26,099.50","26,269.10","25,998.50",24.00K,0.35%
8/19/2023,"26,099.40","26,053.30","26,262.20","25,799.50",33.04K,0.18%
8/18/2023,"26,053.20","26,635.70","26,801.90","25,691.00",93.05K,-2.19%
8/17/2023,"26,635.70","28,726.10","28,771.80","25,489.40",132.92K,-7.28%
8/16/2023,"28,726.30","29,195.30","29,251.10","28,717.60",43.71K,-1.61%
8/15/2023,"29,195.30","29,426.70","29,472.00","29,118.60",33.81K,-0.79%
8/14/2023,"29,426.70","29,300.10","29,689.00","29,116.00",39.30K,0.43%
8/13/2023,"29,300.10","29,428.20","29,468.50","29,272.30",13.49K,-0.44%
8/12/2023,"29,428.20","29,420.80","29,480.80","29,375.40",11.07K,0.02%
8/11/2023,"29,420.80","29,448.90","29,544.90","29,271.20",27.71K,-0.10%
8/10/2023,"29,449.00","29,578.00","29,719.40","29,377.50",32.00K,-0.44%
8/9/2023,"29,578.00","29,771.30","30,104.00","29,384.20",49.67K,-0.67%
8/8/2023,"29,777.40","29,204.20","30,168.60","29,137.70",62.57K,1.96%
8/7/2023,"29,204.20","29,081.30","29,270.20","28,721.00",41.19K,0.42%
8/6/2023,"29,081.30","29,067.90","29,198.90","28,987.40",16.03K,0.05%
8/5/2023,"29,068.10","29,105.60","29,139.30","28,983.00",14.55K,-0.13%
8/4/2023,"29,105.50","29,189.10","29,319.10","28,875.80",31.43K,-0.29%
8/3/2023,"29,189.30","29,180.90","29,409.80","28,981.00",36.08K,0.05%
8/2/2023,"29,173.70","29,711.80","30,025.90","28,961.60",67.41K,-1.81%
8/1/2023,"29,712.20","29,232.30","29,712.20","28,611.00",64.01K,1.64%
7/31/2023,"29,232.40","29,282.00","29,502.30","29,128.30",31.84K,-0.17%
7/30/2023,"29,281.70","29,354.20","29,446.60","29,054.50",20.58K,-0.24%
7/29/2023,"29,353.50","29,315.00","29,400.10","29,256.90",13.90K,0.13%
7/28/2023,"29,315.00","29,222.70","29,533.00","29,125.10",31.42K,0.32%
7/27/2023,"29,222.70","29,352.90","29,568.80","29,094.00",30.42K,-0.44%
7/26/2023,"29,352.20","29,228.80","29,681.80","29,109.70",44.33K,0.42%
7/25/2023,"29,228.60","29,178.30","29,365.40","29,058.70",29.05K,0.17%
7/24/2023,"29,178.10","30,085.90","30,098.20","28,890.70",55.73K,-3.02%
7/23/2023,"30,085.90","29,788.90","30,337.00","29,735.70",23.32K,1.00%
7/22/2023,"29,788.90","29,904.50","29,988.00","29,657.30",18.47K,-0.38%
7/21/2023,"29,903.10","29,801.00","30,058.90","29,739.90",32.59K,0.34%
7/20/2023,"29,801.00","29,909.70","30,408.00","29,621.40",50.33K,-0.36%
7/19/2023,"29,909.70","29,866.70","30,185.50","29,789.30",34.96K,0.14%
7/18/2023,"29,866.80","30,139.70","30,242.40","29,624.60",42.40K,-0.91%
7/17/2023,"30,139.70","30,235.50","30,335.90","29,693.30",42.84K,-0.32%
7/16/2023,"30,235.50","30,291.80","30,435.00","30,075.40",20.31K,-0.18%
7/15/2023,"30,291.40","30,316.80","30,395.40","30,246.90",17.06K,-0.09%
7/14/2023,"30,317.40","31,465.40","31,602.60","29,944.30",82.42K,-3.65%
7/13/2023,"31,466.10","30,387.30","31,764.50","30,260.00",99.81K,3.55%
7/12/2023,"30,387.30","30,623.30","30,951.30","30,231.70",54.06K,-0.77%
7/11/2023,"30,623.30","30,414.20","30,782.20","30,333.80",39.84K,0.68%
7/10/2023,"30,415.30","30,166.90","31,019.60","29,969.10",55.24K,0.82%
7/9/2023,"30,166.90","30,288.80","30,425.50","30,071.90",20.05K,-0.40%
7/8/2023,"30,288.80","30,346.80","30,379.90","30,055.90",17.41K,-0.19%
7/7/2023,"30,346.40","29,912.70","30,442.00","29,757.40",46.42K,1.45%
7/6/2023,"29,913.10","30,512.80","31,463.60","29,869.00",90.81K,-1.97%
7/5/2023,"30,512.80","30,768.60","30,875.60","30,233.30",43.23K,-0.83%
7/4/2023,"30,768.40","31,152.00","31,326.50","30,657.80",42.12K,-1.23%
7/3/2023,"31,151.30","30,617.50","31,377.00","30,581.50",56.49K,1.74%
7/2/2023,"30,617.70","30,587.10","30,769.00","30,227.90",28.82K,0.10%
7/1/2023,"30,586.80","30,472.90","30,649.90","30,329.00",22.46K,0.37%
6/30/2023,"30,472.90","30,445.70","31,275.50","29,714.50",118.65K,0.09%
6/29/2023,"30,445.70","30,077.30","30,823.10","30,051.30",49.57K,1.22%
6/28/2023,"30,078.60","30,691.90","30,703.40","29,919.50",51.06K,-1.99%
